filename,notes,authors,licenses,urls
body/bodies/male/light.png,"see details at https://opengameart.org/content/lpc-character-bases; 'Thick' Male Revised Run/Climb by JaidynReiman (based on ElizaWy's LPC Revised)","bluecarrot16,JaidynReiman,Benjamin K. Smith (BenCreating),Evert,Eliza Wyatt (ElizaWy),TheraHedwig,MuffinElZangano,Durrani,Johannes Sjölund (wulax),Stephen Challener (Redshrike)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-male-jumping-animation-by-durrani,https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle,https://opengameart.org/content/lpc-revised-character-basics,https://opengameart.org/content/lpc-be-seated,https://opengameart.org/content/lpc-runcycle-for-male-muscular-and-pregnant-character-bases-with-modular-heads,https://opengameart.org/content/lpc-jump-expanded,https://opengameart.org/content/lpc-character-bases"
head/heads/human/male/light.png,"original head by Redshrike, tweaks by BenCreating, modular version by bluecarrot16","bluecarrot16,Benjamin K. Smith (BenCreating),Stephen Challener (Redshrike)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-character-bases"
hair/plain/male/light_brown.png,"","Manuel Riecke (MrBeast),Joe White","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/ponytail-and-plain-hairstyles"
hat/magic/celestial_moon/adult/blue.png,"sheet_definitions/hat_magic_celestial.json","Napsio,Michael Whitlock (bigbeargames),Tracy","CC-BY 3.0","https:/opengameart.org/content/lpc-celestial-wizard-hats,https:/opengameart.org/content/lpc-expanded-hats-facial-helmets"
arms/hands/ring/stud/male/yellow.png,"","bluecarrot16","CC0","https://opengameart.org/content/lpc-jewelry"
torso/clothes/longsleeve/laced/male/blue.png,"","bluecarrot16,JaidynReiman,Stephen Challener (Redshrike),Johannes Sjölund (wulax)","CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-pirates"
torso/jacket/tabard/male/blue.png,"original by wulax, edited to v3 base by bluecarrot16","bluecarrot16,Johannes Sjölund (wulax)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,http://opengameart.org/content/lpc-clothing-updates"
cape/solid/female/navy.png,"","bluecarrot16,JaidynReiman","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-curly-hair-elven-ears-white-cape-with-blue-trim-and-more,https://opengameart.org/content/lpc-roman-armor,http://opengameart.org/content/lpc-clothing-updates"
cape/solid_behind/navy.png,"","Nila122,JaidynReiman","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-curly-hair-elven-ears-white-cape-with-blue-trim-and-more,https://opengameart.org/content/lpc-roman-armor"
legs/pantaloons/male/navy.png,"Original bases by Redshrike, thrust/shoot bases by Wulax, Original Pantaloons by Nila122, climb/jump/run/sit/emotes/revised combat by JaidynReiman","Nila122,JaidynReiman,Johannes Sjölund (wulax),Stephen Challener (Redshrike)","OGA-BY 3.0,GPL 2.0,GPL 3.0,CC-BY-SA 3.0","https://opengameart.org/content/lpc-pirates,https://opengameart.org/content/more-lpc-clothes-and-hair,https://opengameart.org/content/lpc-expanded-pants"
feet/boots/rimmed/male/iron.png,"","JaidynReiman","OGA-BY 3.0+,CC-BY 3.0+,GPL 3.0","https://opengameart.org/content/lpc-kimono-relm,https://opengameart.org/content/lpc-expanded-socks-shoes"
weapon/magic/gnarled/universal/foreground/medium.png,"","bluecarrot16","OGA-BY 3.0+,GPL 3.0,CC-BY 4.0","https://opengameart.org/content/lpc-more-weapons"
weapon/magic/gnarled/universal/background/medium.png,"","bluecarrot16","OGA-BY 3.0+,GPL 3.0,CC-BY 4.0","https://opengameart.org/content/lpc-more-weapons"
weapon/magic/gnarled/thrust/foreground/medium.png,"","bluecarrot16","OGA-BY 3.0+,GPL 3.0,CC-BY 4.0","https://opengameart.org/content/lpc-more-weapons"
weapon/magic/gnarled/thrust/background/medium.png,"","bluecarrot16","OGA-BY 3.0+,GPL 3.0,CC-BY 4.0","https://opengameart.org/content/lpc-more-weapons"
weapon/magic/crystal/universal/foreground/yellow.png,"","bluecarrot16","OGA-BY 3.0+,GPL 3.0,CC-BY 4.0","https://opengameart.org/content/lpc-more-weapons"
weapon/magic/crystal/universal/background/yellow.png,"","bluecarrot16","OGA-BY 3.0+,GPL 3.0,CC-BY 4.0","https://opengameart.org/content/lpc-more-weapons"
weapon/magic/crystal/thrust/foreground/yellow.png,"","bluecarrot16","OGA-BY 3.0+,GPL 3.0,CC-BY 4.0","https://opengameart.org/content/lpc-more-weapons"
weapon/magic/crystal/thrust/background/yellow.png,"","bluecarrot16","OGA-BY 3.0+,GPL 3.0,CC-BY 4.0","https://opengameart.org/content/lpc-more-weapons"
